name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Extremely Fast,Passed Attention Check and Correct Code and Not Extremely Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q3_1,39,32,28,25,25,24,16,12,18,10
Q3_2,35,33,31,28,28,25,18,13,20,11
Q3_3,33,32,30,27,27,24,15,15,18,12
Q3_4,28,26,24,23,23,22,14,10,12,10
Q3_5,27,26,25,23,23,20,16,9,17,7
Q3_6,36,33,31,27,27,23,22,9,24,6
Q3_7,27,23,21,16,16,14,15,6,15,5
Q3_8,39,33,31,27,27,23,19,12,21,9
Q3_9,39,35,33,29,29,27,19,14,23,10
Q3_10,31,30,30,24,24,21,17,13,18,11
Q3_11,42,38,36,33,33,31,18,18,20,15
Q3_12,23,21,20,18,18,14,13,7,13,7
Q3_13,33,32,31,28,28,24,17,14,20,10
Q3_14,31,27,27,24,24,23,18,9,17,9
Q3_15,34,32,31,27,27,23,20,11,17,13
Q3_16,32,28,25,20,20,18,17,8,15,10
Q3_17,35,31,31,27,27,24,21,10,25,5
Q3_18,38,35,33,30,30,30,23,10,19,12
Q3_19,44,41,40,33,33,31,24,16,23,14
Q3_20,39,34,33,27,27,25,19,14,17,14
Q3_21,33,30,29,25,25,21,17,12,20,9
Q3_22,39,36,34,28,28,24,20,14,21,13
Q3_23,33,30,28,25,25,20,14,14,18,9
Q3_24,39,36,36,33,33,29,19,17,25,10
Q3_25,32,30,28,25,25,23,19,9,17,9
Q3_26,41,36,31,27,27,25,18,13,22,8
Q3_27,32,30,28,23,23,20,16,12,17,9
Q3_28,38,35,32,29,29,26,18,14,20,10
Q3_29,27,26,25,24,24,23,13,12,15,9
Q3_30,31,29,28,25,25,23,15,13,13,14
Q4_1,36,33,33,29,29,26,20,13,23,10
Q4_2,37,34,32,28,28,23,16,16,19,11
Q4_3,35,31,28,23,23,19,17,11,24,4
Q4_4,28,26,25,24,24,21,13,12,16,8
Q4_5,36,33,31,24,24,21,19,12,20,10
Q4_6,31,28,25,20,20,19,11,14,11,13
Q4_7,31,27,26,23,23,20,17,9,15,10
Q4_8,40,38,36,34,34,30,21,15,23,10
Q4_9,33,27,27,25,25,22,20,7,20,6
Q4_10,35,32,30,28,28,28,21,9,17,13
Q4_11,39,34,30,22,22,18,20,10,21,8
Q4_12,36,31,30,26,26,24,16,14,20,9
Q4_13,35,34,30,26,26,22,18,12,18,11
Q4_14,36,34,31,27,27,25,20,11,15,15
Q4_15,31,31,31,28,28,25,18,13,21,8
Q4_16,36,33,31,25,25,24,16,15,21,9
Q4_17,37,35,33,32,32,28,21,12,22,11
Q4_18,38,36,35,31,31,29,17,18,21,11
Q4_19,32,30,29,25,25,22,20,9,18,11
Q4_20,28,27,25,25,25,24,10,15,13,11
Q4_21,33,32,30,25,25,22,16,14,20,10
Q4_22,35,33,31,24,24,23,25,6,18,13
Q4_23,37,32,30,27,27,25,17,13,19,10
Q4_24,35,33,33,30,30,29,22,11,19,12
Q4_25,27,20,19,18,18,17,8,11,9,9
Q4_26,32,28,28,24,24,21,20,8,17,10
Q4_27,31,28,27,25,25,20,17,10,17,10
Q4_28,50,46,44,40,40,37,25,19,30,12
Q4_29,29,26,23,20,20,18,10,13,16,5
Q4_30,31,28,27,22,22,18,19,8,17,10
Q5_1,34,32,30,25,25,22,17,13,17,13
Q5_2,35,32,30,28,28,26,15,15,20,10
Q5_3,34,30,28,23,23,21,16,12,15,11
Q5_4,36,33,32,28,28,25,21,11,19,11
Q5_5,35,31,30,26,26,22,16,14,21,9
Q5_6,33,29,28,24,24,23,13,15,15,12
