name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Extremely Fast,Passed Attention Check and Correct Code and Not Extremely Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q3_1,2.769230769230769,2.764705882352941,2.566666666666667,2.6296296296296298,2.6296296296296298,2.6666666666666665,3,2.0714285714285716,2.35,3
Q3_2,2.857142857142857,2.909090909090909,3,2.892857142857143,2.892857142857143,2.8,3.388888888888889,2.4615384615384617,2.65,3.6363636363636362
Q3_3,2.696969696969697,2.71875,2.7333333333333334,2.6666666666666665,2.6666666666666665,2.5833333333333335,2.8666666666666667,2.6,2.6666666666666665,2.8333333333333335
Q3_4,2.607142857142857,2.6153846153846154,2.4583333333333335,2.4782608695652173,2.4782608695652173,2.5454545454545454,2.9285714285714284,1.8,2.1666666666666665,3
Q3_5,2.814814814814815,2.8461538461538463,2.84,2.739130434782609,2.739130434782609,2.75,3.25,2.111111111111111,2.5294117647058822,3.857142857142857
Q3_6,3.7777777777777777,3.878787878787879,3.806451612903226,3.8518518518518516,3.8518518518518516,3.9130434782608696,3.727272727272727,4,3.8333333333333335,3.8333333333333335
Q3_7,2.185185185185185,2.260869565217391,2.0476190476190474,1.8125,1.8125,1.8571428571428572,2.066666666666667,2,2.1333333333333333,1.8
Q3_8,3.0256410256410255,3.0285714285714285,2.9696969696969697,3,3,3.217391304347826,3.3157894736842106,2.5,2.9130434782608696,3.2222222222222223
Q3_9,2.3333333333333335,2.3055555555555554,2.176470588235294,2.2333333333333334,2.2333333333333334,2.259259259259259,2.5789473684210527,1.6666666666666667,2.125,2.3
Q3_10,2.903225806451613,2.903225806451613,2.903225806451613,2.76,2.76,2.8095238095238093,3.235294117647059,2.5,2.5789473684210527,3.4545454545454546
Q3_11,2.261904761904762,2.2564102564102564,2.2162162162162162,2.2058823529411766,2.2058823529411766,2.225806451612903,2.4444444444444446,2,1.9047619047619047,2.6666666666666665
Q3_12,2.0434782608695654,1.9523809523809523,1.85,1.8333333333333333,1.8333333333333333,1.9285714285714286,2.076923076923077,1.4285714285714286,1.6153846153846154,2.2857142857142856
Q3_13,2.9696969696969697,3,2.935483870967742,2.7857142857142856,2.7857142857142856,2.7083333333333335,3.4705882352941178,2.2857142857142856,2.7,3.5
Q3_14,2.5806451612903225,2.607142857142857,2.607142857142857,2.52,2.52,2.5652173913043477,2.9444444444444446,2,2.0555555555555554,3.888888888888889
Q3_15,2.264705882352941,2.264705882352941,2.303030303030303,2.206896551724138,2.206896551724138,2.391304347826087,2.6,1.8461538461538463,2.210526315789474,2.5384615384615383
Q3_16,4.5,4.586206896551724,4.576923076923077,4.666666666666667,4.666666666666667,4.666666666666667,4.529411764705882,4.666666666666667,4.6875,4.4
Q3_17,4.4,4.484848484848484,4.484848484848484,4.551724137931035,4.551724137931035,4.625,4.476190476190476,4.5,4.444444444444445,4.6
Q3_18,4.552631578947368,4.571428571428571,4.606060606060606,4.633333333333334,4.633333333333334,4.633333333333334,4.521739130434782,4.8,4.684210526315789,4.5
Q3_19,4.454545454545454,4.512195121951219,4.5,4.454545454545454,4.454545454545454,4.516129032258065,4.333333333333333,4.75,4.478260869565218,4.428571428571429
Q3_20,4.512820512820513,4.6,4.588235294117647,4.642857142857143,4.642857142857143,4.6,4.421052631578948,4.8,4.666666666666667,4.428571428571429
Q3_21,4.151515151515151,4.193548387096774,4.166666666666667,4.153846153846154,4.153846153846154,4.238095238095238,4.117647058823529,4.230769230769231,4.0476190476190474,4.444444444444445
Q3_22,4.230769230769231,4.2631578947368425,4.25,4.266666666666667,4.266666666666667,4.25,3.9,4.6875,4.260869565217392,4.230769230769231
Q3_23,4.424242424242424,4.5,4.464285714285714,4.44,4.44,4.45,4.285714285714286,4.642857142857143,4.444444444444445,4.444444444444445
Q3_24,4.435897435897436,4.421052631578948,4.421052631578948,4.457142857142857,4.457142857142857,4.482758620689655,4.473684210526316,4.368421052631579,4.2592592592592595,4.8
Q3_25,4.40625,4.466666666666667,4.5,4.44,4.44,4.391304347826087,4.368421052631579,4.777777777777778,4.588235294117647,4.333333333333333
Q3_26,4.2682926829268295,4.416666666666667,4.451612903225806,4.407407407407407,4.407407407407407,4.44,4.222222222222222,4.769230769230769,4.409090909090909,4.5
Q3_27,4.4375,4.5,4.464285714285714,4.521739130434782,4.521739130434782,4.55,4.375,4.583333333333333,4.588235294117647,4.111111111111111
Q3_28,4.052631578947368,4.138888888888889,4.151515151515151,4.166666666666667,4.166666666666667,4.115384615384615,4,4.333333333333333,4.238095238095238,3.9
Q3_29,4.518518518518518,4.538461538461538,4.56,4.541666666666667,4.541666666666667,4.521739130434782,4.384615384615385,4.75,4.6,4.555555555555555
Q3_30,4.387096774193548,4.413793103448276,4.392857142857143,4.48,4.48,4.521739130434782,4.133333333333334,4.6923076923076925,4.3076923076923075,4.428571428571429
Q4_1,4.583333333333333,4.606060606060606,4.606060606060606,4.689655172413793,4.689655172413793,4.6923076923076925,4.55,4.6923076923076925,4.695652173913044,4.4
Q4_2,4.135135135135135,4.194444444444445,4.147058823529412,4.1,4.1,4.086956521739131,4.0625,4.222222222222222,4.238095238095238,3.909090909090909
Q4_3,4.485714285714286,4.575757575757576,4.6,4.64,4.64,4.526315789473684,4.529411764705882,4.6923076923076925,4.6923076923076925,4
Q4_4,4.214285714285714,4.3076923076923075,4.36,4.375,4.375,4.333333333333333,4.384615384615385,4.333333333333333,4.5,4
Q4_5,4.138888888888889,4.121212121212121,4.096774193548387,4.041666666666667,4.041666666666667,4,4.157894736842105,4,4.25,3.8
Q4_6,4.483870967741935,4.517241379310345,4.5,4.619047619047619,4.619047619047619,4.631578947368421,4.545454545454546,4.466666666666667,4.666666666666667,4.3076923076923075
Q4_7,4.258064516129032,4.357142857142857,4.333333333333333,4.291666666666667,4.291666666666667,4.2,4.176470588235294,4.6,4.375,4.2
Q4_8,4.6,4.657894736842105,4.638888888888889,4.617647058823529,4.617647058823529,4.6,4.571428571428571,4.733333333333333,4.608695652173913,4.6
Q4_9,4.2727272727272725,4.428571428571429,4.428571428571429,4.423076923076923,4.423076923076923,4.409090909090909,4.45,4.375,4.333333333333333,4.666666666666667
Q4_10,4.457142857142857,4.484848484848484,4.580645161290323,4.551724137931035,4.551724137931035,4.535714285714286,4.523809523809524,4.7,4.833333333333333,4.230769230769231
Q4_11,4.128205128205129,4.085714285714285,4.129032258064516,4.304347826086956,4.304347826086956,4.222222222222222,4.1,4.181818181818182,4.136363636363637,4.125
Q4_12,4.5,4.53125,4.516129032258065,4.481481481481482,4.481481481481482,4.416666666666667,4.375,4.666666666666667,4.666666666666667,4.111111111111111
Q4_13,4.2,4.264705882352941,4.2,4.3076923076923075,4.3076923076923075,4.2272727272727275,4.166666666666667,4.25,4.277777777777778,4
Q4_14,4.444444444444445,4.428571428571429,4.375,4.357142857142857,4.357142857142857,4.36,4.35,4.416666666666667,4.25,4.533333333333333
Q4_15,4.419354838709677,4.419354838709677,4.419354838709677,4.464285714285714,4.464285714285714,4.44,4.444444444444445,4.384615384615385,4.285714285714286,4.625
Q4_16,2.6666666666666665,2.757575757575758,2.774193548387097,2.72,2.72,2.7916666666666665,3.0625,2.466666666666667,2.7142857142857144,2.888888888888889
Q4_17,2.4324324324324325,2.361111111111111,2.3529411764705883,2.3636363636363638,2.3636363636363638,2.2857142857142856,2.6666666666666665,1.8461538461538463,2.3043478260869565,2.4545454545454546
Q4_18,2.4473684210526314,2.4444444444444446,2.4857142857142858,2.4516129032258065,2.4516129032258065,2.4482758620689653,2.9411764705882355,2.0555555555555554,2.5714285714285716,2.5454545454545454
Q4_19,2.96875,3,2.933333333333333,2.8076923076923075,2.8076923076923075,2.8636363636363638,3.1,2.6,2.6842105263157894,3.3636363636363638
Q4_20,2.2857142857142856,2.3333333333333335,2.24,2.24,2.24,2.25,2.6,2,2.076923076923077,2.5454545454545454
Q4_21,3.0303030303030303,3.0303030303030303,2.935483870967742,3,3,2.9545454545454546,3,2.8666666666666667,3,2.8
Q4_22,2.6857142857142855,2.727272727272727,2.7419354838709675,2.625,2.625,2.608695652173913,3,1.6666666666666667,2.611111111111111,2.923076923076923
Q4_23,2.72972972972973,2.696969696969697,2.6451612903225805,2.642857142857143,2.642857142857143,2.64,3,2.2142857142857144,2.6,2.7
