name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Extremely Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q3#1_1,37,33,30,30,29,18,12,10,19
Q3#1_2,36,33,30,30,29,18,12,17,11
Q3#1_3,36,33,28,28,27,18,10,18,10
Q3#1_4,37,34,30,30,27,22,8,16,12
Q3#1_5,34,31,30,30,27,17,13,16,13
Q3#1_6,37,31,30,30,29,17,13,18,11
Q3#1_7,35,32,27,27,26,17,10,12,14
Q3#1_8,36,34,28,28,27,20,8,15,12
Q3#1_9,35,33,30,30,27,17,13,13,17
Q3#1_10,35,33,32,32,32,18,14,20,12
Q3#1_11,37,35,31,31,31,17,14,19,12
Q3#1_12,36,34,30,30,28,17,13,19,11
Q3#1_13,37,33,27,27,26,17,10,14,12
Q3#1_14,36,35,31,31,29,20,11,21,10
Q3#1_15,36,35,31,31,28,20,11,19,11
Q3#1_16,34,32,27,27,24,18,9,16,10
Q3#1_17,38,37,33,33,32,18,15,17,15
Q3#1_18,37,34,30,30,26,19,11,20,9
Q3#1_19,36,30,24,24,22,13,11,11,13
Q3#1_20,35,32,28,28,27,18,10,12,15
Q3#1_21,37,32,32,32,28,21,11,21,9
Q3#1_22,36,33,30,30,28,12,18,19,11
Q3#1_23,34,32,30,30,27,20,10,14,15
Q3#1_24,36,35,31,31,29,23,8,19,12
Q3#1_25,37,32,28,28,28,15,13,18,10
Q3#1_26,100,92,82,82,77,50,32,46,34
Q3#2_1,37,33,30,30,29,18,12,10,19
Q3#2_2,36,33,30,30,29,18,12,17,11
Q3#2_3,36,33,28,28,27,18,10,18,10
Q3#2_4,37,34,30,30,27,22,8,16,12
Q3#2_5,34,31,30,30,27,17,13,16,13
Q3#2_6,37,31,30,30,29,17,13,18,11
Q3#2_7,35,32,27,27,26,17,10,12,14
Q3#2_8,36,34,28,28,27,20,8,15,12
Q3#2_9,35,33,30,30,27,17,13,13,17
Q3#2_10,35,33,32,32,32,18,14,20,12
Q3#2_11,37,35,31,31,31,17,14,19,12
Q3#2_12,36,34,30,30,28,17,13,19,11
Q3#2_13,37,33,27,27,26,17,10,14,12
Q3#2_14,36,35,31,31,29,20,11,21,10
