name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Too Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q3#1_1,2.2432432432432434,2.212121212121212,2.2,2.2,2.1724137931034484,2.2777777777777777,2.0833333333333335,2,2.3684210526315788
Q3#1_2,2.0833333333333335,2.121212121212121,2.1,2.1,2.103448275862069,2.1666666666666665,2,2.235294117647059,2.090909090909091
Q3#1_3,2.0833333333333335,2.090909090909091,2.0714285714285716,2.0714285714285716,2.074074074074074,2,2.2,2.111111111111111,2
Q3#1_4,2.108108108108108,2.1470588235294117,2.066666666666667,2.066666666666667,2.111111111111111,2.090909090909091,2,2.125,2.1666666666666665
Q3#1_5,1.9411764705882353,1.967741935483871,1.9333333333333333,1.9333333333333333,2,1.8823529411764706,2,2.1875,1.6923076923076923
Q3#1_6,2.4324324324324325,2.4193548387096775,2.4,2.4,2.4482758620689653,2.3529411764705883,2.4615384615384617,2.5,2.1818181818181817
Q3#1_7,2.1714285714285713,2.15625,2.2222222222222223,2.2222222222222223,2.230769230769231,2.235294117647059,2.2,2.25,2.2142857142857144
Q3#1_8,2.3333333333333335,2.3823529411764706,2.392857142857143,2.392857142857143,2.4074074074074074,2.35,2.5,2.4,2.3333333333333335
Q3#1_9,2.2285714285714286,2.242424242424242,2.2333333333333334,2.2333333333333334,2.3333333333333335,2.0588235294117645,2.4615384615384617,2.3076923076923075,2.176470588235294
Q3#1_10,2.3142857142857145,2.393939393939394,2.375,2.375,2.375,2.3333333333333335,2.4285714285714284,2.35,2.4166666666666665
Q3#1_11,2.108108108108108,2.085714285714286,2.096774193548387,2.096774193548387,2.096774193548387,2.235294117647059,1.9285714285714286,2.210526315789474,1.9166666666666667
Q3#1_12,2.1666666666666665,2.176470588235294,2.1333333333333333,2.1333333333333333,2.1785714285714284,2.2941176470588234,1.9230769230769231,2.1052631578947367,2.1818181818181817
Q3#1_13,2.2162162162162162,2.1818181818181817,2.111111111111111,2.111111111111111,2.1153846153846154,2.176470588235294,2,2.142857142857143,2.0833333333333335
Q3#1_14,2.3055555555555554,2.2857142857142856,2.2903225806451615,2.2903225806451615,2.310344827586207,2.4,2.090909090909091,2.3333333333333335,2.2
Q3#1_15,2.25,2.2285714285714286,2.193548387096774,2.193548387096774,2.2142857142857144,2.15,2.272727272727273,2.263157894736842,2.090909090909091
Q3#1_16,2.0588235294117645,2.03125,2.037037037037037,2.037037037037037,2.0416666666666665,2.111111111111111,1.8888888888888888,2,2.1
Q3#1_17,2.0789473684210527,2.081081081081081,2.090909090909091,2.090909090909091,2.0625,2.1666666666666665,2,2,2.2666666666666666
Q3#1_18,2.2162162162162162,2.2941176470588234,2.2666666666666666,2.2666666666666666,2.3076923076923075,2.1578947368421053,2.4545454545454546,2.25,2.3333333333333335
Q3#1_19,1.9166666666666667,1.9,1.9166666666666667,1.9166666666666667,1.9545454545454546,2,1.8181818181818181,2.090909090909091,1.7692307692307692
Q3#1_20,2.4,2.375,2.357142857142857,2.357142857142857,2.3703703703703702,2.3333333333333335,2.4,2.3333333333333335,2.466666666666667
Q3#1_21,2.054054054054054,2.09375,2.09375,2.09375,2.142857142857143,1.9523809523809523,2.3636363636363638,2.238095238095238,1.8888888888888888
Q3#1_22,1.9444444444444444,1.9393939393939394,1.9333333333333333,1.9333333333333333,1.9285714285714286,2.0833333333333335,1.8333333333333333,2,1.8181818181818181
Q3#1_23,2.088235294117647,2.125,2.066666666666667,2.066666666666667,2.1481481481481484,2,2.2,2,2.2
Q3#1_24,2.2222222222222223,2.2285714285714286,2.2903225806451615,2.2903225806451615,2.2758620689655173,2.260869565217391,2.375,2.263157894736842,2.3333333333333335
Q3#1_25,2.2972972972972974,2.28125,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2,2.3846153846153846,2.2777777777777777,2.3
Q3#1_26,1.06,1,1,1,1,1,1,1,1
Q3#2_1,2.054054054054054,2.090909090909091,2.1333333333333333,2.1333333333333333,2.1724137931034484,2.3333333333333335,1.8333333333333333,2.2,2.0526315789473686
Q3#2_2,2.388888888888889,2.393939393939394,2.433333333333333,2.433333333333333,2.413793103448276,2.5,2.3333333333333335,2.588235294117647,2.1818181818181817
Q3#2_3,2.25,2.242424242424242,2.25,2.25,2.259259259259259,2.388888888888889,2,2.388888888888889,2
Q3#2_4,2.4324324324324325,2.4411764705882355,2.466666666666667,2.466666666666667,2.4814814814814814,2.590909090909091,2.125,2.625,2.1666666666666665
Q3#2_5,2.2058823529411766,2.193548387096774,2.2,2.2,2.2222222222222223,2.1176470588235294,2.3076923076923075,2.375,2
Q3#2_6,2.3783783783783785,2.3548387096774195,2.3333333333333335,2.3333333333333335,2.3448275862068964,2.3529411764705883,2.3076923076923075,2.388888888888889,2.272727272727273
Q3#2_7,2.142857142857143,2.1875,2.2222222222222223,2.2222222222222223,2.230769230769231,2.3529411764705883,2,2.5833333333333335,1.9285714285714286
Q3#2_8,2.3333333333333335,2.2941176470588234,2.3214285714285716,2.3214285714285716,2.3333333333333335,2.45,2,2.533333333333333,2.0833333333333335
Q3#2_9,2.4285714285714284,2.4545454545454546,2.4,2.4,2.4444444444444446,2.5294117647058822,2.230769230769231,2.6153846153846154,2.235294117647059
Q3#2_10,2.3142857142857145,2.3333333333333335,2.34375,2.34375,2.34375,2.5555555555555554,2.0714285714285716,2.5,2.0833333333333335
Q3#2_11,2.324324324324324,2.3142857142857145,2.3870967741935485,2.3870967741935485,2.3870967741935485,2.588235294117647,2.142857142857143,2.4210526315789473,2.3333333333333335
Q3#2_12,2.1666666666666665,2.1470588235294117,2.2666666666666666,2.2666666666666666,2.25,2.4705882352941178,2,2.4210526315789473,2
Q3#2_13,2.2432432432432434,2.272727272727273,2.2222222222222223,2.2222222222222223,2.230769230769231,2.2941176470588234,2.1,2.2857142857142856,2.1666666666666665
Q3#2_14,2.361111111111111,2.342857142857143,2.3870967741935485,2.3870967741935485,2.413793103448276,2.55,2.090909090909091,2.380952380952381,2.4
Q3#2_15,2.3055555555555554,2.342857142857143,2.3548387096774195,2.3548387096774195,2.3214285714285716,2.5,2.090909090909091,2.5789473684210527,1.9090909090909092
Q3#2_16,2.235294117647059,2.21875,2.185185185185185,2.185185185185185,2.2083333333333335,2.2777777777777777,2,2.125,2.3
Q3#2_17,2.026315789473684,2.054054054054054,2.1818181818181817,2.1818181818181817,2.15625,2.2777777777777777,2.066666666666667,2.2941176470588234,2
Q3#2_18,2.2432432432432434,2.323529411764706,2.4,2.4,2.3846153846153846,2.526315789473684,2.1818181818181817,2.55,2
Q3#2_19,2.1666666666666665,2.1666666666666665,2.25,2.25,2.1818181818181817,2.3076923076923075,2.1818181818181817,2.3636363636363638,2.1538461538461537
Q3#2_20,2.4,2.375,2.5,2.5,2.4814814814814814,2.5,2.5,2.5,2.466666666666667
Q3#2_21,2.2162162162162162,2.21875,2.21875,2.21875,2.1785714285714284,2.380952380952381,1.9090909090909092,2.238095238095238,2.2222222222222223
Q3#2_22,2.3333333333333335,2.3636363636363638,2.3,2.3,2.3214285714285716,2.4166666666666665,2.2222222222222223,2.3157894736842106,2.272727272727273
Q3#2_23,2.235294117647059,2.25,2.2333333333333334,2.2333333333333334,2.2222222222222223,2.4,1.9,2.4285714285714284,2
Q3#2_24,2.2777777777777777,2.3142857142857145,2.4193548387096775,2.4193548387096775,2.4482758620689653,2.4347826086956523,2.375,2.473684210526316,2.3333333333333335
Q3#2_25,2.027027027027027,2.09375,2.0714285714285716,2.0714285714285716,2.0714285714285716,2.3333333333333335,1.7692307692307692,2.2777777777777777,1.7
Q3#2_26,2.9,3,3,3,3,3,3,3,3
Q4_1,3.948717948717949,4.029411764705882,4.032258064516129,4.032258064516129,4.0344827586206895,4.368421052631579,3.5,4.0588235294117645,4
Q4_2,3.9411764705882355,4.096774193548387,4.137931034482759,4.137931034482759,4.107142857142857,4.294117647058823,3.9166666666666665,4.5,3.9375
Q4_3,4.105263157894737,4.166666666666667,4.1875,4.1875,4.166666666666667,4.136363636363637,4.3,4.176470588235294,4.285714285714286
